id,created_at,updated_at,date,viewability_rate,keyword_id,purchases_clicks,video5_second_views,match_type,units_sold,royalty_qualified_borrows,qualified_borrows_from_clicks,ad_group_id,sales,keyword_bid,add_to_list,kindle_edition_normalized_pages_royalties14d,search_term,add_to_list_from_clicks,cost_type,campaign_budget_type,campaign_status,video_unmutes,keyword_type,view_click_through_rate,video_third_quartile_views,campaign_budget_amount,royalty_qualified_borrows_from_clicks,cost,purchases,ad_group_name,campaign_id,impressions,kindle_edition_normalized_pages_read14d,qualified_borrows,viewable_impressions,keyword_text,campaign_budget_currency_code,video_complete_views,clicks,video_midpoint_views,video5_second_view_rate,campaign_name,video_first_quartile_views,sales_clicks,report_type_request,country_code_request,customer_request,file_name_request,parse_time_request
8669,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-12,91.43,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,magnesium bisglycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,4.69,0,300.0,0,10.72,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,70,0,0,64,magnesium glycinate gummies,USD,0,3,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8670,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-13,72.41,63809869731050,1,0,EXACT,1,0,0,451520502515809,24.98,3.5,0,0,magnesium bisglycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,9.52,0,300.0,0,8.0,1,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,29,0,0,21,magnesium glycinate gummies,USD,0,2,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,24.98,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8671,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-17,70.0,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,magnesium bisglycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,7.14,0,300.0,0,4.2,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,20,0,0,14,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8673,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-17,100.0,213223474575661,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,magnesium for women gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,33.33,0,300.0,0,2.82,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,3,0,0,3,magnesium gummies for women,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8674,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-17,100.0,63809869731050,0,0,EXACT,0,0,0,451520502515809,0.0,3.5,0,0,magnesium glycinate -gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,100.0,0,300.0,0,3.16,0,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1,0,0,1,magnesium glycinate gummies,USD,0,1,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,0.0,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8678,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-11,46.84,63809869731050,1,0,EXACT,1,0,0,451520502515809,27.99,3.5,0,0,magnesium glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,4.94,0,300.0,0,70.19,1,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,822,0,0,385,magnesium glycinate gummies,USD,0,19,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,27.99,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8679,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-12,38.43,63809869731050,4,0,EXACT,4,0,0,451520502515809,91.96,3.5,0,0,magnesium glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,2.7,0,300.0,0,57.83,4,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1444,0,0,555,magnesium glycinate gummies,USD,0,15,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,91.96,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8680,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-13,34.11,63809869731050,10,0,EXACT,10,0,0,451520502515809,176.67,3.5,0,0,magnesium glycinate gummies,0,CPC,DAILY_BUDGET,ENABLED,0,EXACT,6.85,0,300.0,0,80.43,10,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,941,0,0,321,magnesium glycinate gummies,USD,0,22,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,176.67,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8681,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-14,68.3,63809869731050,13,0,EXACT,13,0,0,451520502515809,226.63,3.5,3,0,magnesium glycinate gummies,3,CPC,DAILY_BUDGET,ENABLED,0,EXACT,6.35,0,300.0,0,160.22,13,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1060,0,0,724,magnesium glycinate gummies,USD,0,46,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,226.63,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
8682,2026-04-21 01:59:18.626969,2026-04-21 01:59:18.626969,2026-04-15,77.82,63809869731050,26,0,EXACT,27,0,0,451520502515809,492.44,3.5,1,0,magnesium glycinate gummies,1,CPC,DAILY_BUDGET,ENABLED,0,EXACT,7.26,0,300.0,0,279.85,26,Inner-SB-Collection-gumm-magnesium-CPC-1,107283922414881,1416,0,0,1102,magnesium glycinate gummies,USD,0,80,0,0.0,Inner-SB-Collection-gumm-magnesium-CPC-1,0,492.44,sbSearchTerm,US,INNERBRIGHTNESS,sbSearchTerm_innerbrightness_US_2026-03-21_2026-04-20.json,2026-04-21 01:59:18
